species,site,sum,mean
Thalossoma_bifasciatum,Coopers,0.000,0
Chromis_bermudae,NNE,0.385,0.384615385
Chromis_insolata,NNE,0.077,0.076923077
Paranthia_furcifer,NNE,0.026,0.025641026
Chaetodon_sedentarius,NNE,0.026,0.025641026
Sparisoma_aurofrenatum,NNE,0.026,0.025641026
Coryphopterus_sp,NNE,0.051,0.051282051
Canthigaster_rostrata,NNE,0.026,0.025641026
Halichoeres_garnoti,NNE,0.000,0
Centropyge_argi,NNE,0.179,0.179487179
Apogon_sp,NNE,0.103,0.102564103
Bodianus_pulchellus,NNE,0.000,0
Scarus_taeniopterus,NNE,0.000,0
Cephalopholis_fulva,NNE,0.000,0
Rypticus_saponaceus,NNE,0.026,0.025641026
Stegastes_variabilis,NNE,0.000,0
Haemulon_flavolineatum,NNE,0.026,0.025641026
Hemipteronotus_sp,NNE,0.000,0
Melichthys_niger,NNE,0.000,0
Holocanthus_tricolor,NNE,0.000,0
Chromis_cyanea,NNE,0.026,0.025641026
Sphoeroides_spengleri,NNE,0.000,0
Bodianus_rufus,NNE,0.000,0
Halichoeres_radiatus,NNE,0.000,0
Acanthurus_chirurgus,NNE,0.026,0.025641026
Stegastes_partitus,NNE,0.000,0
Chaetodon_ocellatus,NNE,0.000,0
Gymnothorax_funerbris,NNE,0.000,0
Thalossoma_bifasciatum,NNE,0.000,0
Chromis_bermudae,Dark_Slime,0.620,0.620155039
Chromis_insolata,Dark_Slime,0.000,0
Paranthia_furcifer,Dark_Slime,0.000,0
Chaetodon_sedentarius,Dark_Slime,0.047,0.046511628
Sparisoma_aurofrenatum,Dark_Slime,0.031,0.031007752
Coryphopterus_sp,Dark_Slime,0.078,0.07751938
Canthigaster_rostrata,Dark_Slime,0.023,0.023255814
Halichoeres_garnoti,Dark_Slime,0.124,0.124031008
Centropyge_argi,Dark_Slime,0.000,0
Apogon_sp,Dark_Slime,0.039,0.03875969
Bodianus_pulchellus,Dark_Slime,0.000,0
Scarus_taeniopterus,Dark_Slime,0.000,0
